no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
1,[],59948266,mohamaderan,Eran,1826198943941931258,Ibu kota boleh pindah tapi lampu rem tetap menyala~~ 🔥🔥🔥 https://t.co/WIHHwiqOTP,Wed Aug 21 10:05:32 +0000 2024,0,0
2,[],1620665125857550336,milah9723,Desa Terpencil dan tertinggal,1826197429030728068,"@akbarfaizal68 @DPR_RI Demi Anies Baswedan dan Ahok..
Mau bikin keonaran di ibu kota.
Wajarlah jika ibu kota Indonesia di pindah ke ikn.
Biar Indonesia gak malu dari negara luar.
Karena urusan receh pun mau Ado domba masyarakat..
Orang yang jadi gubernur.
Masyarakat bisa hilang pekerjaan dan nyawa",Wed Aug 21 09:59:30 +0000 2024,0,0
3,[],1183320479966253056,sarrelya,Lia,1826191774232003060,ibu kota pindah biar susah kalo demo,Wed Aug 21 09:37:02 +0000 2024,0,0
4,[],1557621707715723264,L4MEXCUSES,nudia,1826176922185081279,ibu kota pindah ke ikn ini biar istana sm gedung dpr gabisa didemo mahasiswa ya,Wed Aug 21 08:38:01 +0000 2024,0,0
5,"[{'display_url': 'sinpo.id', 'expanded_url': 'http://sinpo.id/', 'url': 'https://t.co/mHYuyHxze8', 'indices': [450, 473]}, {'display_url': 'sinpo.tv', 'expanded_url': 'http://sinpo.tv/', 'url': 'https://t.co/ZuBBa6D4XL', 'indices': [478, 501]}]",1012174601055449088,sinpotv,SIN PO TV,1826173691572699406,"Ridwan Kamil dan Suswono, mengajak seluruh warga Jakarta untuk melakukan Re-imajinasi, setelah status Ibu Kota Negara Pindah ke IKN.

Visi tersebut disampaikan Ridwan Kamil dan Suswono, usai diusung menjadi Calon Gubernur dan Calon Wakil Gubernur oleh KIM Plus, pada Senin sore, https://t.co/nwjS5vhypS",Wed Aug 21 08:25:11 +0000 2024,0,0
6,[],1793971847916331008,vegetarian_gg,Belalang Unyu-Unyu,1826166968204075349,Jesica Wongso harus tahu kalau Ibu Kota Negara akan di pindah ke kalimantan. https://t.co/KXEtDhQaYG,Wed Aug 21 07:58:28 +0000 2024,0,0
7,[],1530474068671025152,jjeane__,jeane 🍉,1826163404077412515,ibu kota pindah itu biar kalian ga bisa demo 🫵🏻,Wed Aug 21 07:44:18 +0000 2024,1,0
8,[],923505462112280581,Joker_Ulosowo,"Aspirasi_Putih_Ulosowo, SE. D.ap.",1826159609373143176,"Salah satu keuntungan oligarki klo Ibu Kota pindah ke Kaltim adalah......
.
.
.
Klo demo butuh modal... naek delman lanjut naik kapal or pesawat .... 
itupun klo gak dicegat tengah laut,
ato dicancel terbang dg alasan ""Technical Reason"" 
🤮🤮🤮🤮",Wed Aug 21 07:29:13 +0000 2024,1,4
9,[],1353075889278341121,sobathidupmu,Sonai🇵🇸,1826145775296065637,"@Savvytrader6 @mittenkitten__ @ardisatriawan Apa anda ga kepikiran kenapa ibu kota negara pindah ke kalimantan, kalimantan ga kena dampak sama sekali kalo megatrust terjadi.",Wed Aug 21 06:34:15 +0000 2024,0,0
10,[],1119175032872132608,Suarez3311,Schwrz_212@om Front,1826116750167126115,"@NenkMonica @AimanWitjaksono @officialinews_ @officialMKRI Intinya mh wlpun ibu kota mau pindah ke Kalimantan berarti DKI masih di perebut kan?? 

Masih vital dong statusnya DKI!",Wed Aug 21 04:38:55 +0000 2024,0,0
