,no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
0,1,[],1689497398845071360,aprianto_fi2,Aprianto Firmansyah,1826183326409117700,@abangbelneg Keberlanjutan budaya lokal akan menjadi inti dari identitas ibu kota baru,Wed Aug 21 09:03:28 +0000 2024,0,0
1,2,[],2999489478,KantahKabBT,Kantah Kab. Bengkulu Tengah,1826167073380380893,"Halo #SobATRBPN, Pemerintah telah mempersiapkan Nusantara tidak hanya membangun Ibu Kota Baru namun juga membangun Kota Hutan yang Ramah Lingkungan, Pintar dan modern. Istimewa, tahun ini adalah kali pertama perayaan HUT ke-79 Republik di Ibu Kota Nusantara (IKN). https://t.co/XuGeHFrW7C",Wed Aug 21 07:58:53 +0000 2024,0,0
2,3,"[{'display_url': 'instagram.com/p/C-4xD0_t5-K/', 'expanded_url': 'https://www.instagram.com/p/C-4xD0_t5-K/', 'url': 'https://t.co/hwg9YVA72Q', 'indices': [0, 23]}]",1693506559991783424,Kel_utakaseJT,KELURAHAN UTAN KAYU SELATAN,1826159778026115334,"https://t.co/hwg9YVA72Q
Pawai Karnaval 17 Agustus 2024 di wilayah Kelurahan Utan Kayu Selatan, para warga ikut antusias dalam meramaikan acara tersebut.
semoga indonesia semakin maju dengan adanya ibu kota yang baru DIRGAHAYU RI KE 79 #NusantaraBaruIndonesiaMaju",Wed Aug 21 07:29:54 +0000 2024,0,0
3,4,[],1686272808081661952,abu_raihan1508,Abu Raihan,1826158961533530181,"@abangbelneg Ibu kota baru, bikin kita makin kekinian dan ready for anything",Wed Aug 21 07:26:39 +0000 2024,0,0
4,5,[],3091829467,terwiwiwiwi,mba sha,1826144249278275636,"Brengsek. Lu ngebet bikin IKN buat Ibu kota baru. Skg Jkt yang bukan apa2 ini mau lu pake buat wilayah anak lu YANG LAHIR DAN BESAR BAHKAN GAK DI SINI YA BANGSAT. TAIK. IDUP, BERKUASA PULA FAK",Wed Aug 21 06:28:11 +0000 2024,0,0
5,6,[],534218864,rianjani3g,rianjani3g,1826137208417563133,@officialinews_ @kegblgnunfaedh Cuma Kalimantan yg ga kena itu yaa.? Ibu kota baru IKN,Wed Aug 21 06:00:13 +0000 2024,0,0
6,7,[],1669857421,bukanqoy,🌻,1826131001896002008,"@mestyariotedjo Dokkk anakku pernah ke salah satu dokter ibu kota di rumah sakit besar. Katanya antrian sesuai kedatangan, dokternya praktek jam 5, aku datang jam 4 dan baru masuk ke ruangan dokter jam 9 malam. Aku kasihan sama anakku....sampai nangis karena ingin ketemu kasur 🥲",Wed Aug 21 05:35:33 +0000 2024,0,0
7,8,[],1086875203995459584,kantahkabpasbar,KantahKabPasamanBarat,1826116357316030611,"""Reposted from @kem_atrbpn Halo #SobATRBPN, Pemerintah telah mempersiapkan Nusantara tidak hanya membangun Ibu Kota Baru namun juga membangun Kota Hutan yang Ramah Lingkungan, Pintar dan modern. https://t.co/WlCpmqbb9x",Wed Aug 21 04:37:21 +0000 2024,0,0
8,9,"[{'display_url': 'dunia.tempo.co/read/1906548/r…', 'expanded_url': 'https://dunia.tempo.co/read/1906548/rusia-siap-bantu-ibu-kota-baru-tunggu-kebutuhan-spesifik-dari-otorita-ikn?utm_source=Twitter&utm_medium=dlvr.it', 'url': 'https://t.co/xgjhvnHgpV', 'indices': [75, 98]}]",18129942,tempodotco,tempo.co,1826116161198764269,"Rusia Siap Bantu Ibu Kota Baru, Tunggu Kebutuhan Spesifik dari Otorita IKN https://t.co/xgjhvnHgpV #TempoDunia",Wed Aug 21 04:36:35 +0000 2024,0,2
9,10,[],1685874582190964737,rizi_raflesia24,Rizi Raflesia,1826111862150410724,"@abangbelneg Ibu kota yang baru, semangat baru buat akselerasi ekonomi hijau",Wed Aug 21 04:19:30 +0000 2024,0,0
10,11,[],2999489478,KantahKabBT,Kantah Kab. Bengkulu Tengah,1826106527977259167,"Upacara Peringatan Hari Ulang Tahun (HUT) ke-79 Republik Indonesia yang mengusung tema “Indonesia Maju, Nusantara Baru”, berlangsung secara hybrid di Istana Negara, Ibu Kota Nusantara (IKN) dan Istana Merdeka, Jakarta pada Sabtu (17/08/2024). https://t.co/Bq25uLE1Nz",Wed Aug 21 03:58:18 +0000 2024,0,0
11,12,[],2999489478,KantahKabBT,Kantah Kab. Bengkulu Tengah,1826105935473029355,"Upacara Peringatan Hari Ulang Tahun (HUT) ke-79 Republik Indonesia yang mengusung tema “Indonesia Maju, Nusantara Baru”, berlangsung secara hybrid di Istana Negara, Ibu Kota Nusantara (IKN) dan Istana Merdeka, Jakarta pada Sabtu (17/08/2024). https://t.co/EaqEd13GCd",Wed Aug 21 03:55:57 +0000 2024,0,0
12,13,[],1694957520782331904,faisal_agus23,Faisal Agus,1826104342522507626,"@abangbelneg Pemindahan ibu kota, awal baru buat cerita kebangkitan kita",Wed Aug 21 03:49:37 +0000 2024,0,0
13,14,[],2906614093,kantahkotjaksel,Kantah Kota Jakarta Selatan,1826103441997050281,"Indonesia di Ibu Kota Nusantara (IKN).  ""Insyaallah malam ini kita akan mengikuti upacara renungan suci dan besok pagi tentunya momentum yang bersejarah, pertama kalinya memperingati Upacara Kemerdekaan 17 Agustus di IKN, di ibu kota negara yang baru,""",Wed Aug 21 03:46:02 +0000 2024,0,0
14,15,[],1320785937987637248,lafeeruby,𖦹ׂ 𓈒,1826099682491379816,"@drumbin WKWKWKWK, ih sekalian wisata ibu kota baru",Wed Aug 21 03:31:06 +0000 2024,0,0
15,16,[],1301724619783634944,nadelouvwoon,nadaisyダ˚ ༘🎀,1826093392633409829,@saycili Aku pernah gaul dan sesirkel sama anak ibu kota gt kak emg serem soalnya org tuanya cuma ngasih uang aja kyk ga mikirin anaknya bakal ngapain pokoknya lu jalan sendiri gue kasih duit kalau ada masalah baru mrk ngurusin tuh itupun kdg kayak dibiarin🥲🥲,Wed Aug 21 03:06:06 +0000 2024,0,0
16,17,[],1811345363124830208,hendra_wjya319,Hendra Wijaya,1826093292221772081,@abangbelneg Keberlanjutan budaya lokal akan menjadi identitas unik ibu kota baru,Wed Aug 21 03:05:42 +0000 2024,0,0
17,18,"[{'display_url': 'timenews.co.id/nasional/99513…', 'expanded_url': 'https://www.timenews.co.id/nasional/99513383360/selain-medan-ternyata-provinsi-sumatera-utara-memiliki-calon-ibu-kota-baru-berikut-ini-rencananya-yang-sudah-matang', 'url': 'https://t.co/UxsFcbpAUA', 'indices': [118, 141]}]",1803971049027248129,RedaksiT648,redaksi timenews,1826087594318508493,"Selain Medan, Ternyata Provinsi Sumatera Utara Memiliki Calon Ibu Kota Baru, Berikut ini Rencananya yang Sudah Matang https://t.co/UxsFcbpAUA",Wed Aug 21 02:43:04 +0000 2024,0,0
18,19,[],1580222331309371392,kilik_panji,Panji,1826085615689253358,"@mas_veel Benar juga ya...dulu gubernur junjungan nya sampai di tegur baru mau bersih kan lumpur di Ibu Kota, 
niat lempar botol tapi kena kening sendiri",Wed Aug 21 02:35:12 +0000 2024,1,2
19,20,"[{'display_url': 'harakatuna.com', 'expanded_url': 'http://www.harakatuna.com', 'url': 'https://t.co/9YbOIFkFws', 'indices': [115, 138]}]",823187434422702080,harakatuna,Harakatuna.com,1826081082732937694,"Mengapa Bangsa Indonesia Harus Memperhatikan IKN sebagai Proyek Pembangunan Bangsa❓

Selengkapnya silahkan baca di https://t.co/9YbOIFkFws / Link di bio

#iknnusantara #ibukotabaru #nusantarabaruindonesiamaju #earthquake #dilematvi #DoubleKay https://t.co/kSSB1jEPI5",Wed Aug 21 02:17:11 +0000 2024,0,0
20,21,[],3187159544,pajakbengkulu1,KPP Pratama Bengkulu Satu,1826079763758448826,"Ini merupakan  batu loncatan besar bagi Indonesia yang sedang menghadapi masa transisi  kepemimpinan, di saat yang bersamaan kita memiliki Ibu kota baru yang  sekaligus menjadi harapan baru untuk mencapai cita-cita Indonesia Emas  2045.",Wed Aug 21 02:11:57 +0000 2024,0,0
21,22,[],3187159544,pajakbengkulu1,KPP Pratama Bengkulu Satu,1826079761694863670,"Hari ini adalah tonggak sejarah baru bagi kita.

Untuk  pertama kalinya, kita melaksanakan rangkaian Upacara Peringatan Hari  Kemerdekaan ke-79 Republik Indonesia di Ibu Kota Nusantara (@ikn_id). https://t.co/HPgQZPLA52",Wed Aug 21 02:11:56 +0000 2024,0,0
22,23,[],1231199014462332930,ssourbeen,𝑅𝘪𝘺𝘶⁵ ⋆˚𖦹⸆⸉⋆ | k/ia,1826065902611345414,"@fallingmonstar @septino_biel @Iamclynophile_ dan aku mengira pemindahan ibu kota ke IKN akan mengurangi populasi (alias warga bisa pindah kesana buat tempat tinggal baru atau kerja di IKN jd JKT juga ga penuh) taunya itu fasilitas khusus pemerintahan doang, warga ga merasakan, sama dengan bohong😬",Wed Aug 21 01:16:52 +0000 2024,0,0
23,24,[],782860323053264896,aa7389rjj665,Gina Derina,1826048585617784998,"@jokowi Wah, keren banget nih konsep smart city nya. Modul hunian ASN yang modern pasti bikin nyaman tinggal di ibu kota baru.",Wed Aug 21 00:08:03 +0000 2024,0,0
24,25,[],842768227201499136,AlexandraNg1991,Medali Giveaway ? Dasar TV parpol kalah pemilu.,1826043292276211774,"@worksfess Kerja di IKN (kalau lolos), kamu akan jadi salah satu pelopor di ibu kota baru nder.
Opportunity akan banyak.
Bersamaan dengan berkembangnya IKN sarana dan prasarana akan berkembang juga.
Kesempatan kerja, bisnis etc akan berkembang juga.
10 tahun itu sebentar koq.",Tue Aug 20 23:47:01 +0000 2024,0,0
25,26,[],1683698121694654465,naren_antonioss,Naren Antonios,1826023445437755749,"@AgikMauripta Ibu kota nusantara akan menjadi pusat budaya dan pendidikan baru, sehingga warga setempat dapat menikmati fasilitas dan program-program yang lebih baik",Tue Aug 20 22:28:09 +0000 2024,0,0
26,27,[],1691712897381191680,nazwa_sibah,Nazwa Sibah,1825965614147711376,@AgikMauripta Ibu Kota Nusantara akan menjadi ikon baru bagi Indonesia di mata dunia,Tue Aug 20 18:38:21 +0000 2024,0,0
27,28,[],1755628014371532803,MahesaMuna196,mahesa munawari,1825958708687548498,Gaya²an pakai bikin Ibu kota baru (IKN induk KomuNis) lha BESAR PASAK DARI PADA TIANG AJA MAKSAIIN DIRI https://t.co/v2x3FXnAdp,Tue Aug 20 18:10:55 +0000 2024,0,0
28,29,[],1212990572073381888,apasiapanihh,Ibu Kota Jerman,1825943069830819993,"@tso0kie gimana gua mau tenang, refresh dikit langsung ada aja yang baru",Tue Aug 20 17:08:46 +0000 2024,0,0
