no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
1,[],1689560511447453696,renaldi_surya23,Renaldi Surya,1826200819693416723,@abangbelneg Pemindahan ibu kota adalah langkah besar dalam menjaga warisan alam,Wed Aug 21 10:12:59 +0000 2024,0,0
2,[],1689901538846953472,aditya_surya197,Aditya Surya,1826198795820118373,@abangbelneg Pemindahan ibu kota menciptakan momentum untuk percepatan pembangunan,Wed Aug 21 10:04:56 +0000 2024,0,0
3,[],1294134528,RapinzelAprilia,Nurfitri aprilia,1826188180602941764,"kata gua si salah satu ‘kebutuhan’ pemindahan ibu kota negara, adalah karena takut digerebek massa. ya soalnya gebrakan2 sebelum lengsernya ngadi2 bgt🤣🤏🏻",Wed Aug 21 09:22:45 +0000 2024,0,0
4,[],1682776396136083457,Ayssach,HAYssach ,1826178516062445636,"#PosIND juga bersinergi dengan PT Bina Karya (Persero) guna mendukung penyiapan, pembangunan, pemindahan dan penyelenggaraan wilayah Ibu Kota Nusantara. 
@PosIndonesia 
#PosIndonesia https://t.co/HxvDgTOyxg",Wed Aug 21 08:44:21 +0000 2024,0,0
5,"[{'display_url': 'timenews.co.id/nasional/99513…', 'expanded_url': 'https://www.timenews.co.id/nasional/99513386235/yang-tidak-dikatakan-jokowi-menelusuri-realitas-di-balik-pemindahan-ibu-kota-ke-kalimantan', 'url': 'https://t.co/uVYc55NSxj', 'indices': [92, 115]}]",1803971049027248129,RedaksiT648,redaksi timenews,1826175632423932294,Yang Tidak Dikatakan Jokowi: Menelusuri Realitas di Balik Pemindahan Ibu Kota ke Kalimantan https://t.co/uVYc55NSxj,Wed Aug 21 08:32:54 +0000 2024,0,0
6,[],1546467894581936128,bela_jani12,Bela,1826136284307583404,"@abangbelneg Pemindahan ibu kota, buat kita jadi lebih on point",Wed Aug 21 05:56:32 +0000 2024,0,0
7,[],1446016473911087106,NanaLesham,Nana Lesham,1826111196518559789,"PosIND juga bersinergi dengan PT Bina Karya (Persero) guna mendukung penyiapan, pembangunan, pemindahan dan penyelenggaraan wilayah Ibu Kota Nusantara, khususnya terkait pengangkutan dokumen &amp; perlengkapan kantor milik Kementerian &amp; Lembaga

#PosIndonesia #PosIND @PosIndonesia https://t.co/wDFnsnYGBU",Wed Aug 21 04:16:51 +0000 2024,0,0
8,[],1214218873651650561,Chintya___99,Chintya,1826109777405161851,"#PosIND juga bersinergi dengan PT Bina Karya (Persero) selaku Badan Usaha Otorita Ibu Kota Nusantara (IKN) guna mendukung penyiapan, pembangunan, pemindahan dan penyelenggaraan wilayah Ibu Kota Nusantara. 

#PosIndonesia
@PosIndonesia https://t.co/wucGgRly2J",Wed Aug 21 04:11:13 +0000 2024,0,0
9,[],1681502714935808000,hinan_kuswati,Hinan Kuswati,1826109439415562632,"@abangbelneg Pemindahan ibu kota, bikin kita makin dikenal di mata dunia",Wed Aug 21 04:09:52 +0000 2024,0,0
10,[],893922978,Eduarda07194870,Eduarda Souza,1826107850726465637,@abangbelneg Pemindahan ibu kota mencerminkan tekad Indonesia dalam menghadapi tantangan global #IbuKotaNegara,Wed Aug 21 04:03:33 +0000 2024,0,0
