no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
1,[],1181047338,unsghero,Bor,1840818546831737245,"Efek domino negara miskin bikin ibu kota baru, untuk kesekian kalinya ribut di POM bensin ~",Mon Sep 30 18:18:36 +0000 2024,0,0
2,[],1624808795930234880,peoplepleaser7,Peri,1840793505255604361,"@raymondchins Satu sih pertanyaan gue, pemerintah pernah mikir dampak panjang gasi? Kyk after covid nge gas IKN bukannya dampak panjang begitu anj, tp liat situasi abis covid negara gila mana coba yg ngabisin buat ibu Kota baru? Blm dampak perang sm dollar kan.",Mon Sep 30 16:39:06 +0000 2024,0,0
3,[],93599287,idkcika,idkcika,1840782853430497643,"@chuwlo Pernah karena gue pindah kota, temen kantor gue yg baru jg gamau main sm gue. Jadi gue sama ibu gue aja / suami disini he he.",Mon Sep 30 15:56:47 +0000 2024,0,0
4,[],4637589649,ibnu_s_rIxiiIAs,Ibnu Saiful Rijali,1840767569378329065,"@sociotalker @realfedinuril Jadi, semenjak masa dahulu dikenal sebutan DKI-DIA-DIY &amp; lalu agak nyeleneh berani ubah dgn sebutan Megapolitan-NAD-Jogja &amp; sepertinya timbul usaha sampai batas titik kesempatan di ujung dgn pertaruhkan sebutan baru sbb, DKJ (Menyatu)-ACEH-DIY ditambah Ibu Kota Nusantara impian.*",Mon Sep 30 14:56:03 +0000 2024,0,0
5,[],1338433730550095873,Hudakeyy,𝐑𝐞𝐳𝐢𝐦𝐇𝐲𝐛𝐫𝐢𝐝,1840732087545954801,"@nldaanwr @prabowo Jan dibayangkan tp disyukuri akan punya Ibu Kota Baru tiba"" kena Gempa runtuh semua..",Mon Sep 30 12:35:03 +0000 2024,0,1
6,[],2281270728,sonnyprakosa7,Sonny Prakosa,1840719608011259942,"@realfedinuril @jokowi Waduh, Mulyono lupa kali kalo ada UU-RI itu. Saya sih setuju ibu kota baru pengganti Jakarta. Jakarta biar jadi kota metropolitan aja. Tapi bikin ibukota baru juga mesti matang perencanaan dan melibatkan banyak pihak dan butuh waktu lama dan anggaran besar jadi ojo kesusu. 🤣😂😅",Mon Sep 30 11:45:28 +0000 2024,0,0
7,[],105077210,mulyadiabdullah,muller,1840718676791546134,"@OposisiCerdas Jakarta pastinya msh ibu kota RI, klu IKN serahkan saja kelanjutannya sama presiden baru",Mon Sep 30 11:41:46 +0000 2024,0,0
8,[],40934968,zeetalibriani,Zeeta Libriani,1840709184511250711,"Agak kesel juga ya...Di saat pembangunan IKN yang terancam (atau udah pasti mangkrak), bukti-bukti bahwa Bung Karno ga pernah ngusulin pindah Ibu kota baru muncul. Maksud gw, hey kemarin-kemarin pas awal-awal kemana org2 yg bisa buktiin ini? atau gw lg di planet lain?",Mon Sep 30 11:04:02 +0000 2024,0,0
9,[],18129942,tempodotco,tempo.co,1840685399124942961,"Presiden Jokowi baru-baru ini mengklaim bahwa proyek Ibu Kota Nusantara (IKN) telah disetujui seluruh rakyat Indonesia melalui perwakilan di DPR.

#TempoHeadliner https://t.co/MjRYTVsWOf",Mon Sep 30 09:29:32 +0000 2024,1,2
10,[],1683726705268256773,ibah_jubaedahh,Ibah Jubaedah,1840679688332517489,@agnessintiaa Keberlanjutan budaya lokal akan menjadi inti dari identitas ibu kota baru,Mon Sep 30 09:06:50 +0000 2024,0,0
11,[],137331094,BEMFHUNPAD,BEM FH Unpad,1840674961024856067,"[SEBUMI Vol. 7: Ibu Kota Baru Menjadi ‘Rumah’ yang Aman dan Nyaman bagi Lingkungan sekitar? Atau justru Sebaliknya?]

Ibu Kota Baru Menjadi ‘Rumah’ yang Aman dan Nyaman bagi Lingkungan sekitar? Atau justru Sebaliknya? https://t.co/73LngErK5o",Mon Sep 30 08:48:03 +0000 2024,0,1
12,[],1486973688230838272,zyn_samsul77,Zayn samsul,1840673191221731568,"@agnessintiaa Ibu kota baru, bikin kita semakin deket sama tren kekinian.",Mon Sep 30 08:41:01 +0000 2024,0,0
13,[],1699739026256003072,suhendra_ade3,Suhendra Ade,1840664489668358390,"@agnessintiaa Ibu kota baru, bikin kita makin kekinian dan ready for anything",Mon Sep 30 08:06:26 +0000 2024,0,0
14,[],1683756970568990720,amima_runah,Amima Runah,1840664143365546196,@agnessintiaa Keragaman budaya Indonesia akan semakin tercermin di ibu kota baru,Mon Sep 30 08:05:04 +0000 2024,0,0
15,[],1833780722479644672,aulia_tiara8,Aulia Tiara,1840662722515710443,@agnessintiaa Ibu kota baru akan meningkatkan konektivitas dan daya saing nasional.,Mon Sep 30 07:59:25 +0000 2024,0,0
16,[],2602732680,pitrosid1,Pitra,1840662448094765163,@satriohendri Apaan lagi sih...cerewet amat... PNS mau pindah kok ente yang nyinyir. Yang pasti Pak Jokowi telah berhasil dalam menjalankan amanat  UU Ibu Kota Baru yang juga telah di setujui DPR. Ini adalah legasi terbaik Pak Jokowi. Untuk masalah pindah pasti bertahap.,Mon Sep 30 07:58:20 +0000 2024,0,0
17,[],490367073,PPSDMPD,Pusbang SDM Hubdat,1840661683859321133,"Tujuannya  adalah untuk mengetahui bagaimana perkembangan kota tersebut, karena  dapat menjadi gambaran untuk mengintegrasikan tata kelola sistem  transportasi antara Ibu Kota baru dengan kota-kota yang ada  disekitarnya.",Mon Sep 30 07:55:17 +0000 2024,0,0
18,[],1831260882279829504,fani_nurul13,Fani Nurul,1840656761973534795,@agnessintiaa Keberlanjutan budaya lokal akan menjadi identitas unik ibu kota baru,Mon Sep 30 07:35:44 +0000 2024,0,0
19,[],2695463725,triwul82,kiv z,1840651259491299433,"Jokowi baru-baru ini mengklaim bahwa proyek ibu Kota Nusantara (IKN) telah disetujui seluruh rakyat Indonesia melalui perwakilan di DPR. Menurut dia, proyek ini bukan sekadar keputusan presiden saja.

juru kampanye Greenpeace Indonesia menilai hal itu tidak benar adanya.

 ""Itu https://t.co/ekkPRDlr8d",Mon Sep 30 07:13:52 +0000 2024,5,12
20,[],1055758111720390656,SWranasti,Tan Joe Ng,1840644463917711587,"@detikcom Nanggung amat reklmasi, bikin aja Ibu Kota Negara yg baru lagi.",Mon Sep 30 06:46:52 +0000 2024,0,13
21,[],1711603533341233152,najwa_riyanti5,Najwa Riyanti,1840640401298042986,@ranofardian Pemindahan ibu kota memicu investasi dan lapangan kerja baru,Mon Sep 30 06:30:43 +0000 2024,0,0
22,[],1686272808081661952,abu_raihan1508,Abu Raihan,1840639521840603319,"@ranofardian Pindah ibu kota, semangat baru buat Indonesia yang semakin maju",Mon Sep 30 06:27:14 +0000 2024,0,0
23,[],730010835460841472,red_bean69,RedBean69,1840636026890719265,ibu kota negara demokrasi kok ada Istana baru. main raja2 mulu nih negara dari dulu,Mon Sep 30 06:13:20 +0000 2024,0,0
