no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
1,[],37414097,realfedinuril,Fedi Nuril,1840570706037440848,"Anabel (analisis gembel) gue. 
Sejak UU No. 10/1964 disahkan, rencana untuk memindahkan ibu kota sudah tidak ada lagi atau tidak dipertimbangkan lagi. 
Jadi, perlu hati2 menyebut Sukarno tentang pindah ibu kota, Pak @jokowi
Tapi, yah, namanya juga analisis gembel. https://t.co/lOzyxPRUCD",Mon Sep 30 01:53:47 +0000 2024,6084,20662
2,[],1252667805947723776,txtdrjkt,TXT DARI JAKARTA,1826237417931849854,"tujuan ibu kota pindah ke IKN ni, biar pada susah di-demo kali ya?",Wed Aug 21 12:38:24 +0000 2024,5516,45354
3,[],30201110,alisyarief,Ali Syarief - アリ・シャリーフ,1836768513215864903,"Dusta lagi, ibu kota tdk jd pindah. Jokowi tdk mau tanda tangani pemindahan ibukota https://t.co/XRSwVUx3Wy",Thu Sep 19 14:05:13 +0000 2024,1000,2088
4,[],1226038913707282433,mazzini_gsp,Mazzini,1840413036978528650,"Bung Karno mengeluarkan UU Darurat No.10 tahun 1957 berdirinya Palangkaraya di Kalteng sbg “ibu kota ideal” itu bukan buat ibu kota Indonesia tapi menjawab gejolak di luar negeri dan dalam negeri di tahun 1952-1963.
Gak ada wacana pindah ibu kota negara di UU Darurat itu,  coba https://t.co/G4KzqwY7tl",Sun Sep 29 15:27:15 +0000 2024,1160,3810
5,[],1158355819512991747,NarasiNewsroom,Narasi Newsroom,1776475626423411041,"Katanya sih, karena ibu kota yang lama udah penuh sesak manusia. Meski diprotes sana-sini karena pindah ibu kota negara itu nambah beban negara, pemerintah nyatanya lanjut terus.

Apa sih yang sebenernya dicari?? Jangan-jangan mau…. Oiya, ini lagi ngomongin Mesir yha🙏🏽

| Narasi https://t.co/bZnwGIKUVH",Sat Apr 06 05:02:49 +0000 2024,199,490
6,[],1433345800025911297,plusjakarta_,+Jakarta (baca: Plus Jakarta),1775008297340584028,"Kota ini secara resmi menyudahi titelnya sebagai ibu kota seiring berpindahnya status tersebut ke Nusantara yang ada di Pulau Kalimantan.
-
#KotaKolaborasi
#PlusJakarta https://t.co/Rm5dnkk5fv",Tue Apr 02 03:52:10 +0000 2024,80,459
7,[],80559922,ferizandra,ferizandra,1838938378668306461,"Tahun 2019... beliau segitu ngototnya ibu kota Indonesia harus pindah...

Pindahnya pun gak tanggung2... jauh menyeberang laut ke Kalimantan Timur... masyarakat adat tergusur, hutan dibabat, habitat orangutan pun berkurang...

Tahun 2024... dengan entengnya beliau bilang IKN https://t.co/mFbKZXUTpT",Wed Sep 25 13:47:29 +0000 2024,60,107
8,"[{'display_url': 'bisnis.tempo.co/read/1922591/p…', 'expanded_url': 'https://bisnis.tempo.co/read/1922591/pernyataan-jokowi-ikn-didukung-seluruh-rakyat-dibantah-greenpeace-ini-kronologi-kepindahan-ibu-kota?utm_source=Twitter&utm_medium=dlvr.it', 'url': 'https://t.co/Nj2MoiA0OC', 'indices': [101, 124]}]",18129942,tempodotco,tempo.co,1840659128727060929,"Pernyataan Jokowi IKN Didukung Seluruh Rakyat Dibantah Greenpeace, Ini Kronologi Kepindahan Ibu Kota https://t.co/Nj2MoiA0OC #TempoBisnis",Mon Sep 30 07:45:08 +0000 2024,2100,4593
9,[],403338853,AlvChrist,Alva Christo,1815923528656666819,Persiapan pindah ibu kota ke IKN marilah melabeli band Jakarta sebagai band kabupaten,Wed Jul 24 01:34:42 +0000 2024,71,267
10,[],1158355819512991747,NarasiNewsroom,Narasi Newsroom,1837052154072494510,"Lain dulu, lain sekarang. Dulu cuma satu partai yang menolak pemindahan ibu kota. Sekarang, saat pembangunan udah berjalan malah gini.

| Narasi Daily https://t.co/fgCS7fbkU7",Fri Sep 20 08:52:18 +0000 2024,1964,8756
11,[],871103989,mawakresna,Mawa Kresna,1765230477831782618,"Kalian sadar gak sih kalau sekarang Jakarta bukan lagi ibu kota negara Indonesia?

Berdasarkan UU no.3 tahun 2022 tentang Ibu Kota Negara, UU yang mengatur DKI Jakarta sebagai Ibu Kota tidak lagi berlaku paling lama dua tahun setelah UU Ibu Kota Negara disahkan. https://t.co/cTv78SxKIH",Wed Mar 06 04:18:36 +0000 2024,138,355
12,[],18129942,tempodotco,tempo.co,1822860687351468524,"Presiden Joko Widodo belum siap mengalihkan ibu kota dari Jakarta ke IKN, Penajam Paser Utara, Kalimantan Timur. 

Jokowi mengatakan surat keputusan presiden (Keppres) pemindahan ibu kota harus melihat kesiapan di lapangan.

#TempoHeadliner https://t.co/ZsK8Jyr9nY",Mon Aug 12 05:00:29 +0000 2024,73,323
13,[],900999973075996672,FuzaFirdaus,Fuza Firdaus Zhan,1826840593890517062,"Pemerintah mungkin mengira pemindahan ibu kota ke Kaltim akan memperkecil dampak aksi demonstrasi di masa mendatang.

Tapi jangan salah, Kalimantan bisa beringas, bahkan lebih ganas dari aksi yang pernah ada di Jakarta.",Fri Aug 23 04:35:13 +0000 2024,11817,61930
14,[],382641814,ardi_tama1,ardian pratama,1750821692606468132,"Gua setuju dengan IKN, rencana pemindahan ibukota ini sudah ada sejak jaman orde lama, orde baru, dan bahkan SBY pun 

Narasi kontranya selalu sama “rakyat masih susah ngapain pindahin ibukota buang buang uang!?” Oke deh kalo gitu coba loe kasih tahu gw kapan waktu yang tepat",Fri Jan 26 10:03:14 +0000 2024,189,707
