no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
1,[],1247714016186728450,Randavrian,Molekul Bebas,1840902758456836561,"Jokowi pernah izin ke DPR untuk memindahkan ibukota ke Nusantara, mayoritas DPR bersorak setuju, maka sebagai orang yang mewakili rakyat artinya seluruh rakyat menyetujui lewat keputusan yang diwakili oleh DPR",Mon Sep 30 23:53:14 +0000 2024,0,0
2,[],717163508920504320,firzafp,"HTTP is Dead / Muhammad Firza S., Kom.",1840727079886934466,"@tempodotco Nusantara bisa jadi 'neraka pembangunan', batal sama dengan ""rencana ibukota Argentina baru adalah Viedma"", tapi tak bisa cepat.",Mon Sep 30 12:15:09 +0000 2024,0,0
3,[],1243465632856731648,AbdurrasyidRah1,Abdurrasyid Rahman,1840726174772703719,"@TeddGus Yg jadi perkara jika presiden selanjutnya tidak mau menandatangani perpindahan ibukota negara ke nusantara, krn tdk diamanatkan dlm rpjmn, dan sya blm dgr ada rpjmn perubahan selama periode ini, mhn penjelasannya",Mon Sep 30 12:11:33 +0000 2024,0,0
4,[],1204025043837042688,MrPHugoP,Mangiring Parasian Hutagaol,1840705307162337745,@parewaminang4 @TeddGus Artinya secara de facto Jakarta masih sebagai pusat pemerintahan Negara Republik Indonesia sampai terbitnya peraturan pemerintah tentang pemindahan ibukota negara sebagai pusat pemerintahan ke Nusantara (IKN = IbuKota Negara di Kota Nusantara).,Mon Sep 30 10:48:38 +0000 2024,0,0
5,[],1356877686702919681,AfniOlivia,Olivia Afni,1840691267107504273,"Ibukota Nusantara Menyongsong Masa Depan Dengan Kendaraan Bebas Emisi.
#IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern #IndonesiaMaju #SmartDefenseSystem  #KerjaNyataJokowi #JokowiMerakyat #JokowiBerdedikasi #KaryaNyata https://t.co/6etdnyK2Bx",Mon Sep 30 09:52:51 +0000 2024,0,0
6,[],1356877686702919681,AfniOlivia,Olivia Afni,1840690435637059718,"Ibukota Nusantara Gunakan Transportasi Bebas Emisi.
#IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern #IndonesiaMaju #SmartDefenseSystem  #KerjaNyataJokowi #JokowiMerakyat #JokowiBerdedikasi #KaryaNyata https://t.co/7Xbq2lVgxV",Mon Sep 30 09:49:32 +0000 2024,0,0
7,[],23343960,kompascom,Kompas.com,1840687530800521527,"Ingat, Dilarang Merokok Saat Berkunjung ke IKN

&lt; #IKN #IbuKotaNusantara #OIKN https://t.co/qHo9Kl2TJ4",Mon Sep 30 09:38:00 +0000 2024,0,5
8,[],1576913175227748352,dekade_08,DEKADE 08,1840685924579197314,"Presiden Joko Widodo ungkapkan bahwa IKN bukanlah proyek pribadi ataupun pemerintah saja, melainkan proyek rakyat Indonesia. Sepatutnya rakyat Indonesia berbangga dengan kerja keras ini.

#prabowo #gibran #ikn #ibukotanusantara #jokowi #indonesiamaju #menujuindonesiamaju https://t.co/qpYYojAmFe",Mon Sep 30 09:31:37 +0000 2024,5,12
9,[],226140504,Poldakaltim,Polda Kaltim,1840658035662090376,"Biddokkes Polri Gelar Seminar dan Workshop Tingkatkan Kemampuan Personel Guna Menghadapi Operasi Mantap Praja Mahakam 2024
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/fahUCD1xzk",Mon Sep 30 07:40:48 +0000 2024,0,2
10,"[{'display_url': 'radarjabar.disway.id/read/686978/pe…', 'expanded_url': 'https://radarjabar.disway.id/read/686978/pembangunan-ikn-jadi-peluang-kota-samarinda-menekan-angka-pengangguran', 'url': 'https://t.co/W6MFrIsh4j', 'indices': [72, 95]}]",1651883208404000769,radarjabar_id,Radar Jabar ID,1840654611360919880,"Pembangunan IKN Jadi Peluang Kota Samarinda Menekan Angka Pengangguran

https://t.co/W6MFrIsh4j

#RadarJabar #PembangunanIKN #Samarinda #AngkaPengangguran #Disnaker #UMKM #IbuKotaNusantara",Mon Sep 30 07:27:11 +0000 2024,0,3
11,[],226140504,Poldakaltim,Polda Kaltim,1840650285167092013,"Polres Paser Perketat Pengamanan Kantor KPU Menjelang Pemilu 2024
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/NxyL0c1oow",Mon Sep 30 07:10:00 +0000 2024,0,0
12,[],1820321799605018624,indotodayid,indotoday.id,1840648343753523535,"KAYA DI ANIME NGGAK SIH?🤔 

follow @indotoday.id
cr: TT/harismunandar12_10

#ikn  #indonesia  #ibukotanusantara  #anime #indotoday https://t.co/h5ptRMV6Q9",Mon Sep 30 07:02:17 +0000 2024,0,0
13,[],226140504,Poldakaltim,Polda Kaltim,1840647768953778328,"Mobil Terbalik di Jl. MT Haryono, Piket Pammat Ditsamapta Polda Kaltim Berhasil Lakukan Evakuasi 
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/D0MMpm8fay",Mon Sep 30 07:00:00 +0000 2024,0,1
14,[],226140504,Poldakaltim,Polda Kaltim,1840638670786974103,"Polres Kutai Kartanegara Gelar Apel Pengamanan Penutupan Erau Adat Pelas Benua 2024
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/AsMTRcZSJZ",Mon Sep 30 06:23:51 +0000 2024,0,0
15,[],226140504,Poldakaltim,Polda Kaltim,1840638295577120855,"Satlantas Polres Penajam Paser Utara Peringati HUT Lalu Lintas Bhayangkara ke-69 dengan Syukuran dan Doa Bersama
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/bW3cuXYmZr",Mon Sep 30 06:22:21 +0000 2024,0,0
16,[],226140504,Poldakaltim,Polda Kaltim,1840632553621045590,"Kapolres Kutai Barat Pimpin Sertijab Kabag SDM dan Kasat Reskrim: Pesan Penting Jelang Pilkada 2024
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/ojvX7L4m9O",Mon Sep 30 05:59:32 +0000 2024,0,0
17,"[{'display_url': 'obsessionnews.com/bahaya-status-…', 'expanded_url': 'https://www.obsessionnews.com/bahaya-status-dki-jakarta-sudah-diubah-padahal-ikn-terancam-batal/', 'url': 'https://t.co/itE9Z3UbM8', 'indices': [263, 286]}]",960248512108576768,ebonXboy,ebonX ,1840624820184351099,"@BebySoSweet pemerintah terlalu gegabah, grasa grusu, tidak pruden, telah mengesahkan Undang-Undang Nomor 2 Tahun 2024 tentang Daerah Khusus Jakarta

sementara IKN Nusantara belum berfungsi

Indonesia kehilangan status ibukota Negara ('the nation’s capitalless’)
https://t.co/itE9Z3UbM8",Mon Sep 30 05:28:48 +0000 2024,7,9
18,[],226140504,Poldakaltim,Polda Kaltim,1840616815803900064,"Gerak Cepat Personel Polres Kutai Barat Evakuasi Korban Kecelakaan Lalu Lintas
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/huJOJ2RwLI",Mon Sep 30 04:57:00 +0000 2024,0,0
19,[],226140504,Poldakaltim,Polda Kaltim,1840615759472676924,"Turnamen Bola Voli U-17 Kapolres Bontang Cup 2024, Ajang Kompetisi dan Persaudaraan Resmi Dibuka
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/9s7b1GeDyt",Mon Sep 30 04:52:48 +0000 2024,0,0
20,[],226140504,Poldakaltim,Polda Kaltim,1840615525623505269,"Dalam Rangka Pelestarian Lingkungan, Dit Polairud Dukung Penuh Duta Pepilingasih 2024
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/gNKSvJ4XRR",Mon Sep 30 04:51:52 +0000 2024,0,0
21,[],1669742231228682241,FurqanIbr64677,🇮🇩🇮🇩 Furqan Ibrahim 🇮🇩🇮🇩,1840597728772100149,"@EdiSilitonga354 @Lembayung071 Kalo Nusantara itu kerajaan 
Kalo Indonesia itu Republik.
Ibukota Nusantara itu kerajaan 
Ibukota Indonesia itu Republik",Mon Sep 30 03:41:09 +0000 2024,0,0
22,[],1641926009246330880,pakharto25500,pakharto,1840589563779055850,"@realfedinuril @jokowi Asli nanya, kalau sdh turun Keppres Ibukota Indo apa ya?IKN, NUSANTARA, PENAJAM PASER UTARA, ATAU KALIMANTAN TIMUR?",Mon Sep 30 03:08:43 +0000 2024,0,0
23,[],1510579150779666436,DJ_ATALIACHAN,DJTwerkNation,1840584625120587793,"IKN Resmi dibuka untuk public dengan kuota terbatas

#ikn
#ibukotanusantara
#ikndibukauntukumum
#kalimantantimur
#indonesia https://t.co/8Mo852XCWs",Mon Sep 30 02:49:05 +0000 2024,0,102
24,[],1413438936425242624,GrizelleJovank4,J-Grizelle,1840564802567192717,Ibukota Nusantara Sebuah Simbol Kolaborasi dan Sinergi Bangsa. https://t.co/VKSLenhGoj,Mon Sep 30 01:30:19 +0000 2024,0,0
25,[],717163508920504320,firzafp,"HTTP is Dead / Muhammad Firza S., Kom.",1840541301630173588,"@tempodotco Nusantara (Ibukota Indonesia) tak bisa mangkrak, ingat proyek ini dibangun secara bertahap *meskipun IKN sbg nama resmi drpd Nusantara*",Sun Sep 29 23:56:56 +0000 2024,0,0
26,[],1540425295609868288,adrian_unvaxxed,Adrian UnVaxxed,1840529551618625765,"KUMPULAN KUTIPAN...
Ucapan bpk Presiden negara, DULU dan SEKARANG untuk RENCANA PEMINDAHAN Ibukota Nusantara (IKN) dari DKI Jakarta ke pulau Kalimantan!
Yang kemudian TAK JADI karena TAK ADA: Rumah Sakit, Sekolah, Tempat Hiburan, dll?!?

#IndonesiaDaruratKorupsi
#SalamPeoplePower https://t.co/PPxX6mZtdb",Sun Sep 29 23:10:15 +0000 2024,1,0
27,[],953852237045878784,infiddel,Senapati ing Alaga,1840417710356021479,"Susuhunan Agung Hanyakrakusuma.

Maharaja pertama yang memindahkan ibukota Mataram dari Kuthagedhe ke Kerta.

Istana Kerta yang jadi saksi titik puncak kekuasaan Mataram di Nusantara.

Mataram diakui berhasil menguasai wilayah Madura, Palembang, Jambi, &amp; Sukadana (Kalimantan). https://t.co/VTSAPIRzLD",Sun Sep 29 15:45:50 +0000 2024,0,4
28,[],1126802021476999169,jatmiko87355312,MasJLW,1840413915194556618,@TeddGus Kalo ikn nusantara bukan ibukota ya gak berhak dapet anggaran dan ada kepala otorita. Aneh banget ini undang ² ikn sama dkj.,Sun Sep 29 15:30:45 +0000 2024,0,0
29,[],1505818056517308417,KPHYudi,Yudi,1840372371095802056,"Agak bingung juga Indonesia sekarang Ibukota resminya dimana, antara Jakarta apa Nusantara, sedangkan UU IKN udah terbit 15 feb 2022 dan peralihan DKI ke DKJ, tapi perpres pemindahan IKN belum terbit wkwk",Sun Sep 29 12:45:40 +0000 2024,0,6
30,[],1627640899848245250,petruk565,petruk777,1840367444340482408,"@TeddGus Kebodohan komunikasi UMUK!!! Belajarlah dgn Malasya Ibukota tetap KL  namun Kota Pemerintahannya di Putra Jaya, Nah ini  koar2 IKN Pindah , Umuk2 kegedean !! Kalu baca IK Negara tetap Jakarta ! Kota Pemerintahan KutaiKertanegara!! kalau mau buat Kota namanya Nusantara silahkan",Sun Sep 29 12:26:05 +0000 2024,0,0
31,[],1220300343826763776,Tude_aja,Pro DR_HC Ord_people SE. GO. Pe. Cel.,1840365760537071926,"@BANGSAygSUJUD @jokowi @prabowo @99propaganda @DedynurPalakka @gtobing2903 @Kimberley_PS08 @Ndons_Back @are_inismyname @florieliciouss @XiaoMei_99 @Supriya77456669 @Minietweets_ Ibukota Indonesia skrg namanya apa? Punya kota Nusantara tp rata2 IQ pdkknya 78,49. Ndolosor dikit ke 70 msk ""mental retardian."" Dgn angka ini  scra statistik normal, 89% pddk +62, IQnya dibwh 100. Bayangin kognitif capability IQ dibwh 100 itu gmn. Mau punya anak IQnya 78?",Sun Sep 29 12:19:24 +0000 2024,0,1
32,[],71436318,KompasTV,KOMPAS TV,1840299315564294508,"Ibu Kota Nusantara (IKN) telah dibuka untuk umum per 16 September 2024. Hal ini pun dapat menarik masyarakat yang ingin mengenal dan melihat langsung ibukota baru di Kalimantan.

#NiluhVodcastKompasTV",Sun Sep 29 07:55:22 +0000 2024,23,43
33,[],62465801,BurhanAbe,🅰🅱🅴,1840284893651103919,"Giliran ada tanda2 mangkrak, langsung menyalahkan rakyat. #ikn #IbukotaNusantara https://t.co/5R1pf93U0P",Sun Sep 29 06:58:04 +0000 2024,1,2
34,[],2321939262,refaabdi,abdi,1840252440618381661,"Pemerintah terus kebut pembangunan infrastruktur di IKN agar ASN bisa segera menemoati Ibukota baru.
#IbuKotaNusantara #IKN #SmartCity #LISAxGLOBALCITIZEN
#JKT48RoadToSSK2024
Minggu
Palmer https://t.co/oIufrDomUv",Sun Sep 29 04:49:06 +0000 2024,0,0
35,[],226140504,Poldakaltim,Polda Kaltim,1840242523903799737,"Kunjungi Pondok Pesantren Wali Songo Long Bagun
Kapolres Mahakam Ulu berbagi Kebahagiaan
.
.
.
#polri #divhumas #coolingsystem  #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/qY7HVPLb4E",Sun Sep 29 04:09:42 +0000 2024,0,1
36,[],226140504,Poldakaltim,Polda Kaltim,1840242353518588079,"Kapolres Mahakam Ulu dan Bhayangkari Kunjungi Pondok Pesantren Wali Songo Long Bagun
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/3kR2H1W9Vg",Sun Sep 29 04:09:01 +0000 2024,0,1
37,[],226140504,Poldakaltim,Polda Kaltim,1840242118406877317,"Sat Lantas Polres Bontang Intensifkan Patroli Penertiban Knalpot Brong dan Antisipasi Balap Liar
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/x9jBFZJ1P7",Sun Sep 29 04:08:05 +0000 2024,0,2
38,[],226140504,Poldakaltim,Polda Kaltim,1840241862600470640,"Sat Resnarkoba Polres Berau Berhasil Bongkar Peredaran Sabu, Amankan 301,29 Gram Barang Bukti
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/aUKjHOqxbZ",Sun Sep 29 04:07:04 +0000 2024,0,1
39,[],226140504,Poldakaltim,Polda Kaltim,1840241665652724137,"Polres Kutai Timur Tingkatkan Pengamanan Bawaslu, Pastikan Pilkada 2024 Berjalan Kondusif
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/L7YBTGySqR",Sun Sep 29 04:06:17 +0000 2024,0,2
40,[],226140504,Poldakaltim,Polda Kaltim,1840241470705676545,"Polsek Kawasan Pelabuhan Samarinda Gelar KRYD, Jaga Kondusivitas Jelang Pemilukada 2024
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/gkstD7WXiF",Sun Sep 29 04:05:31 +0000 2024,0,1
41,[],226140504,Poldakaltim,Polda Kaltim,1840240893791728124,"Pastikan Keamanan dan Kenyamanan Para  Pengunjung Balikpapan Fest 2024, Polresta Balikpapan Gelar Pengamanan Di  BSCC Dome Balikpapan
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/UvBaJ8wLCW",Sun Sep 29 04:03:13 +0000 2024,0,1
42,[],226140504,Poldakaltim,Polda Kaltim,1840240507349545228,"Polres Paser Dukung Pendidikan Kader Penggerak Nahdlatul Ulama, Cetak SDM Berkualitas untuk Pembangunan Daerah
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/NK28JrBLqx",Sun Sep 29 04:01:41 +0000 2024,0,1
43,[],226140504,Poldakaltim,Polda Kaltim,1840240166427926989,"Peringati HUT Kota Tenggarong Ke-242 dan Erau Pelas Benua, Polres Kutai Kartanegara Gelar Ziarah ke Makam Raja-Raja Kesultanan Kutai Kartanegara Ing Martadipura
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/yvxexAUsRo",Sun Sep 29 04:00:20 +0000 2024,0,1
44,[],226140504,Poldakaltim,Polda Kaltim,1840239764470939774,"Lomba Baris-Berbaris Piala Panglima TNI Warnai Peringatan Hari Jadi Tentara Nasional indonesia Ke-79, Wakapolres Kutai Barat: Ciptakan Generasi Muda yang Disiplin dan Tangguh
.
.
.
#polri #divhumas #coolingsystem #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/gqS3lvGYxU",Sun Sep 29 03:58:44 +0000 2024,0,1
45,[],226140504,Poldakaltim,Polda Kaltim,1840239379765440623,"Satu suara anda
Satu langkah untuk Perubahan 
Pilkada Kaltim 2024

27 November 2024
.
.
.
#polri #divhumas #coolingsystem  #poldakaltim #Kaltim #IKN #Ibukotanusantara #Mahakam https://t.co/IK4Xkx7EFM",Sun Sep 29 03:57:12 +0000 2024,0,2
46,[],226140504,Poldakaltim,Polda Kaltim,1840230290238906586,"KEPOLISIAN DAERAH KALIMANTAN TIMUR BESERTA STAF DAN JAJARAN

Memperingati

Selamat Hari Jantung Nasional
29 September 2024

#polri #divhumas #poldakaltim #HariTaniNasional 
#ikn #ibukotanusantara https://t.co/1sfipoXvum",Sun Sep 29 03:21:05 +0000 2024,0,1
47,[],226140504,Poldakaltim,Polda Kaltim,1840230132851847494,"KEPOLISIAN DAERAH KALIMANTAN TIMUR BESERTA STAF DAN JAJARAN

Memperingati

Selamat Hari Sarjana Indonesia
29 September 2024

#polri #divhumas #poldakaltim #HariTaniNasional 
#ikn #ibukotanusantara https://t.co/K2BjxpmUqa",Sun Sep 29 03:20:28 +0000 2024,0,1
48,[],1002768328824274949,Huud03,"Hud Elkahfi, MBA",1840214423820218389,@Habakkuk2024 @FayaAtika Dilantik di ibukota negara? Jakarta atau Nusantara?,Sun Sep 29 02:18:02 +0000 2024,0,0
49,[],1666832430559555585,Bigwin__Dekk,🎧 Jean 🎧,1840211415631859862,Pagi Ibukota Nusantara https://t.co/xDfRXNOHXZ,Sun Sep 29 02:06:05 +0000 2024,0,0
