no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
1,[],1476899351012143104,bungkikal99,BungKikal99,1840856475478213119,"@realfedinuril @jokowi waktu itu pindah Ibukota kan karna genting, ada tujuannya. kalo sekarang apa? cuma mau meniru gaya amerika tapi terlihat tak berguna",Mon Sep 30 20:49:19 +0000 2024,0,0
2,[],458498079,KuroKaitou,FirAnto,1840834085708840995,"@TheParadise666 @sociotalker Intinya bukan peraturan tsb masih berlaku atau tidak. Fedi cuma mau bilang, kalau mau mindahin ibukota ya pindahin aja. Tapi jangan bawa-bawa nama Sukarno. Karena beliau tidak ada niatan pindah ibukota ke Palangkaraya seperti yg dibilang pak Presiden.",Mon Sep 30 19:20:21 +0000 2024,0,1
3,[],1823411800232415233,RamdanHuse20466,Ramdan Husein,1840799001295351922,@realfedinuril @jokowi Pa @prabowo  juga bilang keinginan Sukarno pindah ibukota..cita2 leluhur..nah leluhur mu sapa bang..9 naga bukan?,Mon Sep 30 17:00:56 +0000 2024,0,0
4,[],1237712454391484416,rizkyvbriann,kikik,1840787662225182792,Ketika anak kabupaten pindah tim ibukota wkwk https://t.co/9F7HgShEZn,Mon Sep 30 16:15:53 +0000 2024,0,0
5,[],1351005942406664193,strongwolfie,𝗺𝐚𝐮𝐕𝐞 is just Another Shade of Purple,1840773264676941960,@mitissimuss Dulu kan pindah ibukota udah ada kotanya ga ngide bangun kota dari 0 dari pembabatan hutan,Mon Sep 30 15:18:40 +0000 2024,0,0
6,[],1733823921932341248,greenredbwd,AQSA,1840749664477352435,"@realfedinuril @JJRizal Mang kalau Soekarno mau pindah ibukota harus pindah gitu,kalaupun harus pindah, harus ditengah hutan gitu?",Mon Sep 30 13:44:54 +0000 2024,0,0
7,[],1184695438365974528,tekarok007,Tekarok 007,1840744482758856929,"@AndrewsTjan ya kamu lihat aja Jakarta , dan wilayah dimana PKS menang dan berkuasa.
Kayak Depok,jabar,Jakarta dll
udah di kurung itu Ibukota ama PKS,
Makanya kmrn 212 gampang kerahin massa PKS,
EH malah ibukota ya pindah ke kalimantan...
ya nangis lah PKS kerja keras puluhan tahun jd zonk",Mon Sep 30 13:24:18 +0000 2024,1,19
8,[],68353180,me__yudis,Raja Jawa,1840743227030462610,"@realfedinuril @jokowi Disini gw setuju. Anabel gw juga sama. Ga perlu pindah ibukota. Jakarta tenggelem? Semua bisa diatasi, tinggal belajar ke Belanda. Sempit? Ambil Bekasi sama Tangerang. Depok jangan, banyak PKS.",Mon Sep 30 13:19:19 +0000 2024,0,0
9,[],1763095218356928512,Bang_guffy,愚父ぃ　さま,1840741000328925551,"Kalo pengen pindah ibukota ga tau , tapi kalo beliau ""ikut campur "" dalam pengangkatan alm. Pakubuwono 12, iya",Mon Sep 30 13:10:28 +0000 2024,0,0
10,[],1084315822464462854,__freelance__,📢 Dua sisi,1840738611454747048,"Penjilat mati kutu

Gedung MPR &amp; DPR
masih tanah kosong

IKN itu akan siap di tempati
-+ 2050

Itupun 
Harus bener2
Pembangunanya berkelanjutan 

Gegayaan mau pindah ibu kota
🤦🤦🤦

DKI tetep ibukota
Bukan DKJ
Bukan IKN https://t.co/O86XLNCO68",Mon Sep 30 13:00:58 +0000 2024,0,6
11,[],1078227245989122048,dealovarsy,Yaya,1840738120935100818,"@realfedinuril @jokowi Kalo gue liat liat tanpa analisa apapun, makin liat diberita berupa bantahan, ini pindah ibukota dari ide soekarno bla bla bla
 Makin keliatan ambisi bapak mulyono ini🤭",Mon Sep 30 12:59:01 +0000 2024,0,0
12,[],906302878419099648,YurisAbrori,Haub Akalam,1840738006774493275,"Ada orang pindah ibukota mencari2 wangsit dari orang yg sudah meninggal, itu saja sudah diluar nalar

Alasan pindah:
1. Jkt jawa overcrowded
2. Jawasentris
3. Ekologis

Kalau tidak mampu berpikir memang paling mudah cari wangsit di kuburan",Mon Sep 30 12:58:34 +0000 2024,2,31
13,[],1113237298034774016,BataviaRegion,Marchioness Of Weltevreden,1840736309725585761,"@Sigmahalim @aden87 @realfedinuril @jokowi Bohong apa sih? Itu UU kurang jd bukti apa sih kl Soekarno pernah mau pindah ibukota?

Logikanya pake lah mas.",Mon Sep 30 12:51:50 +0000 2024,0,0
14,[],1796026194275844096,bangbot76,@bangbot76,1840731543234613353,"@OmJ_JeNggot pantesan ibukota nya mo pindah ternyata...kota nya dah di jual yaaa....
ck ck ck.... pintar x kau punya akal yaa...
pake isu megathrust lagi biar org2 di daerah sana pindah beuhhhhh....",Mon Sep 30 12:32:53 +0000 2024,0,0
15,[],1113237298034774016,BataviaRegion,Marchioness Of Weltevreden,1840721867189170577,"@Sigmahalim @aden87 @realfedinuril @jokowi Ya emang akhirnya Soekarno nyerah buat pindah. Akhirnya keluar itu UU kl ibukota tetap di Jakarta.
Tapi tetap bahwa Soekarno pernah mau mindahin ya emang beneran. Buktinya aja terpampang nyata.
Ada UU yg ngatur tentang Palangkaraya ya, bukan omon2 doang. https://t.co/KzjsCFKfgP",Mon Sep 30 11:54:26 +0000 2024,0,0
16,[],1194978102029340673,Sigmahalim,SUHALIM,1840719826467078610,"@BataviaRegion @aden87 @realfedinuril @jokowi Undang2 itu mnyatakan Sukarno tdk brkehendak memindahkan ibukota dr jakarta. Itu adlh undang2 yg terbit menjelang Sukarno lengser. Gak ada undang2 lagi yg diterbitkan oleh Sukarno yg menyatakan ibukota akan pindah, apalagi ke Palangkaraya. Kedudukan Undang2 lbh tinggi dr omon2.",Mon Sep 30 11:46:20 +0000 2024,0,0
17,[],298899162,Taromassegaf,Tarom,1840715299089486264,"Soal pindah Ibukota Negara Indonesia, yang dikaitkan dengan Soekarno coba tanya aja ke anaknya Megawati. Bapaknya pernah cerita gak ke anaknya soal pindah ibukota",Mon Sep 30 11:28:20 +0000 2024,0,0
18,[],1699601210628886528,alvaro_noz,noz,1840710112186630233,"@BataviaRegion @realfedinuril @jokowi Emangnya dia ada blg setuju disitu ibukota pindah, itukan cuma pemuja Mulyono yg pgn pindah biar dapet proyek🤣",Mon Sep 30 11:07:44 +0000 2024,0,0
19,[],1010937224,oktaviuswilliam,ウィリアム,1840704229104926942,Ini ibukota gak jadi pindah kah? 🙈🙈,Mon Sep 30 10:44:21 +0000 2024,0,0
