no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
1,[],1578740021460602886,ahmad_efendi31,Ahmad Efendi,1840904260663525844,@IndonesiaJadi Pemerintah dorong pertanian Penajam Paser Utara jadi tumpuan pangan buat IKN Nusantara,Mon Sep 30 23:59:12 +0000 2024,0,0
2,[],1685881676667428864,kayla_maya30,Kayla Maya,1840903976117813753,@IndonesiaJadi Potensi besar dari pertanian Penajam Paser Utara bikin suplai pangan IKN aman,Mon Sep 30 23:58:04 +0000 2024,0,0
3,[],1814220106702151680,dewi_ratna2001,Dewi Ratnasari,1840903743497519595,@IndonesiaJadi Penajam Paser Utara siap jadi tulang punggung pasokan pangan buat IKN Nusantara,Mon Sep 30 23:57:09 +0000 2024,0,0
4,[],3809975773,menyamenyanen,Mr.Menyan,1840903610030608627,"@MangapulRumapea @mas_veel kalau dpr tidak setuju, terjadi ikn?]",Mon Sep 30 23:56:37 +0000 2024,0,1
5,[],1696174618136936448,rumahkuonji,vert,1840903589721764121,@Dezgarong3 HAH TB TB BANGET LU NTAR PULKAMNYA KE IKN?????,Mon Sep 30 23:56:32 +0000 2024,0,0
6,[],2782684831,jul_keceng,Jul keceng,1840903512894685487,@dprpbismalam Kata pak @jokowi  ini BUKAN BIS tpi Kereta kalau di IKN.,Mon Sep 30 23:56:14 +0000 2024,0,0
7,[],1811838827901894656,ElonMask888888,Elon Mask,1840903151400206345,"@loetmanconexs @tempodotco Betul..
IKN itu sangat didukung oleh Rakyat yg mendukung Jokuwi, maka mereka lah yg harus membiayai IKN..",Mon Sep 30 23:54:48 +0000 2024,0,1
8,[],1815280484349546496,maman_sutris,Maman sutrisno,1840903044135076012,@IndonesiaJadi Penajam Paser Utara bisa jadi pusat pangan buat IKN Nusantara dan sekitarnya.,Mon Sep 30 23:54:22 +0000 2024,0,0
9,[],1827348614873804802,Abahdian07,@mencari_pahala,1840902756619714773,"@Kanseulir Lah...iya....ikn dibuat yg diboyong kesana artis,projo,pejabat,polisi,pengusaha.akan enak,rakyat yg dukung dia cuman bisa bangga dan tersenyum bahagia.
Eh...dikabarkan bakal mangkrak seluruh rakyat sampai anak cucu yg akan bayar hutangnya",Mon Sep 30 23:53:14 +0000 2024,0,0
10,[],587188129,BennyValentinus,BV,1840902288959012973,@siompulandak @Maswiro3 @StefanAntonio__ Lebih tolol lagi Jawaban gak nyambung. Bicara ikn lo lari ke hasil pilpres.,Mon Sep 30 23:51:22 +0000 2024,0,0
11,[],1681926429288849414,taufik_hdyt5,Taufik Hidayat,1840902063326450099,@IndonesiaJadi Penajam Paser Utara siap jadi solusi pangan buat kawasan IKN Nusantara.,Mon Sep 30 23:50:28 +0000 2024,0,0
12,[],1689915112902311936,berlian_sof6,Berlian Sofiya,1840901867783798842,@IndonesiaJadi Penajam Paser Utara bakal jadi penyokong pangan utama buat IKN Nusantara,Mon Sep 30 23:49:42 +0000 2024,0,0
13,[],306601204,Slipkenyot,Repaldi,1840901790637973748,@unmagnetism Nama2 pekerja IKN,Mon Sep 30 23:49:23 +0000 2024,0,0
14,[],1485190630402039809,dirmansyah_skm,BERITAAKURAT,1840901758434099522,Kabar IKN #FreeMoraraKebaso https://t.co/P6Zlp1QRfu,Mon Sep 30 23:49:16 +0000 2024,0,0
15,[],1728722591362482176,AbiebSyah087021,Abhieb Syah,1840901588308935159,"@Chynthia_K Giliran mau mangkrak baru nyebut semua diputuskan bersama rakyat. Rakyat yg mana,? Influencer yg mkn² di IKN lalu disuruh bikin video testimoni biar terlihat keren. Kebohongan kok dipelihara.",Mon Sep 30 23:48:35 +0000 2024,5,29
16,[],1815314994931863552,fajar_praset2,Fajar prasetya,1840901287908688325,@IndonesiaJadi Potensi pertanian Penajam Paser Utara luar biasa buat ketahanan pangan IKN,Mon Sep 30 23:47:23 +0000 2024,0,0
17,[],1826767533447544836,BaladaSambada,Sambada Balada,1840901260469551372,"@mazzini_gsp MULAI DEH PENGALIHAN ISU DARI JET PRIBADI, FUFUFAFA, IKN, MULAI STRATEGI BLURRING MEDIA MASSA DENGAN MACEM2 BERITA GAK MAKE SENSE. JANGAN TERPENGARUH DENGAN PENGALIHAN ISU INI, TETAP USUT FUFUFAFA DAN JET PRIBADI ITU !!!!",Mon Sep 30 23:47:17 +0000 2024,0,26
18,[],1807622891229605888,ke_gemini22020,Gemini akun ke 4,1840901064113246408,"@yaniarsim Hilang ditelan ambisius nya Mulyono 

IKN adalah
#KorbanMulyono",Mon Sep 30 23:46:30 +0000 2024,0,2
19,[],1272953532535062529,_Rajawalinews,Rajawali News,1840900980180992313,"Presiden Jokowi telah memberikan kontribusi besar berbagai proyek infrastruktur di seluruh Indonesia. Proyek infrastruktur ini fokus pada jalan tol, pelabuhan, bandara, dan jaringan kereta api, serta pembangunan IKN.

***
#TerimakasihPakJokowi
1 Oktober Rafi Eliano Reijnders Mbak https://t.co/coRzZyUMsy",Mon Sep 30 23:46:10 +0000 2024,9,10
20,[],1859450060,debitlosong,Debit Losong,1840900962648821880,"@Andria75777 Kalian itu adalah orang tinggal di Jawa yang iri kalau yg di luar jawa maju.. (tol di sumatera katanya nda ada manfaatnya, jalan di papau katanya nda ada efek ekomominya, IKN di Kalimantan katanya belum perlu). Kalau yg luar jawa minta merdeka, miskin kalian..",Mon Sep 30 23:46:06 +0000 2024,0,3
21,[],1515726557750640640,9313Wak,Wak 9313,1840900475031564665,Wi @jokowi kowe iku niatmu pindah ke IKN utowo ke SOLO..?,Mon Sep 30 23:44:10 +0000 2024,0,0
22,[],1686224364243763200,yayan_maru67,Yayan Marutag,1840900314142294319,"@IndonesiaJadi Potensi pertanian di Penajam Paser Utara keren banget, bisa jadi lumbung pangan buat IKN Nusantara.",Mon Sep 30 23:43:31 +0000 2024,0,0
23,[],1832384624854712320,sasha_tania99,Sasha Tania,1840900117735612452,@IndonesiaJadi Penajam Paser Utara siap jadi lumbung pangan utama buat kawasan IKN Nusantara,Mon Sep 30 23:42:44 +0000 2024,0,0
24,[],1803049263699808256,IziIzi624083,#rsaeknagaga#,1840899894581870677,"Bawah tanah dn fufufafa, serta 20 ribu pasukan berani mati koyol, jet pribadi, roti 400 ribu, ikn , kcic, tol2 , pembohongsn rakyat indonesia 280 juta,bansos, blt, tambang nikel,pasir laut, woii banhak lagi kasus2 yg akan trbongkar setelah lengser harus dipertanggungjawaban jkw.",Mon Sep 30 23:41:51 +0000 2024,0,0
25,[],1686234377980956677,fiki_sahbani,Fiki Sahbani,1840899663140176295,@IndonesiaJadi Pertanian di Penajam Paser Utara siap bantu penuhi kebutuhan pangan buat kawasan IKN,Mon Sep 30 23:40:56 +0000 2024,0,0
26,[],1613745098122235905,NewNezzz,Txt dari Darwin Nunez,1840899618017878214,pertanyaannya jadi: Kenapa beliau ingin IKN?,Mon Sep 30 23:40:45 +0000 2024,0,0
27,[],1542852568912576513,pangga0908,Pangga,1840899609239175316,@IndonesiaJadi Pertanian Penajam Paser Utara siap jadi penopang utama pangan buat IKN Nusantara,Mon Sep 30 23:40:43 +0000 2024,0,0
28,[],1360828668,exelrockstar,The Dark Knight,1840899394566308004,"@ibnurus79522726 @Aneeuee @realfedinuril @jokowi Lucu,,,kl DPR ga setuju ya ga jadi itu IKN.🤣",Mon Sep 30 23:39:52 +0000 2024,0,0
29,[],1686272808081661952,abu_raihan1508,Abu Raihan,1840899288110596224,@IndonesiaJadi Potensi pertanian Penajam Paser Utara bakal jadi tumpuan pangan buat IKN,Mon Sep 30 23:39:27 +0000 2024,0,0
