no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
1,"[{'display_url': 'nasional.kompas.com/read/2022/03/0…', 'expanded_url': 'https://nasional.kompas.com/read/2022/03/02/21161811/pemindahan-ibu-kota-negara-gagasan-soekarno-mimpi-soeharto-dan-upaya-jokowi?utm_source=Twitter&utm_medium=Referral&utm_campaign=Top_Mobile', 'url': 'https://t.co/MD2AIevT46', 'indices': [140, 163]}]",1604204021215948800,rudysirwi,Dr. H. Zakar Naik 🐸,1840873747781468380,"@democrazymedia Ya ga papa. 
Ini memang urusan presiden. 

Pemindahan Ibu Kota Negara: Gagasan Soekarno, Mimpi Soeharto, dan Upaya Jokowi
 https://t.co/MD2AIevT46",Mon Sep 30 21:57:57 +0000 2024,0,0
2,"[{'display_url': 'beritakanid.com/2024/10/ikn-pr…', 'expanded_url': 'https://www.beritakanid.com/2024/10/ikn-proyek-jokowi-rocky-gerung-bahkan.html', 'url': 'https://t.co/0QOsjjjEHn', 'indices': [79, 102]}]",1512483442600341505,BeritakanID_com,BeritakanID News,1840810315002626084,"IKN Proyek Jokowi? Rocky Gerung: Bahkan JK Tidak Tahu Soal Pemindahan Ibu Kota
https://t.co/0QOsjjjEHn",Mon Sep 30 17:45:54 +0000 2024,1,4
3,"[{'display_url': 'oposisicerdas.com/2024/09/ikn-pr…', 'expanded_url': 'https://www.oposisicerdas.com/2024/09/ikn-proyek-jokowi-rocky-gerung-bahkan.html', 'url': 'https://t.co/7GErFhLmjE', 'indices': [79, 102]}]",887743587579944960,OposisiCerdas,OposisiCerdas.com,1840795351055585610,IKN Proyek Jokowi? Rocky Gerung: Bahkan JK Tidak Tahu Soal Pemindahan Ibu Kota https://t.co/7GErFhLmjE,Mon Sep 30 16:46:26 +0000 2024,23,37
4,"[{'display_url': 'ada.cm', 'expanded_url': 'http://ada.cm', 'url': 'https://t.co/9YVmofBPmz', 'indices': [157, 180]}]",1532261446654246913,SokaJati,Tukang Derep,1840776353425342603,@Asgardyan @realfedinuril Itu saya sudah baca. Sebenernya inti dr pertanyaan saya itu simpel.Bahwa rencana atau ide /rencana ttg Pemindahan Ibu Kota itu mmg https://t.co/9YVmofBPmz Krn faktor keuangan dll jadi sulit direalisasikan.,Mon Sep 30 15:30:57 +0000 2024,0,0
5,"[{'display_url': 'democrazy.id/2024/09/ikn-pr…', 'expanded_url': 'https://www.democrazy.id/2024/09/ikn-proyek-jokowi-pakar-bahkan-jk-tidak.html', 'url': 'https://t.co/ws0FF0duLp', 'indices': [72, 95]}]",1243804423001763841,democrazymedia,Democrazy News,1840744657132859477,"IKN Proyek Jokowi? Pakar: Bahkan JK Tidak Tahu Soal Pemindahan Ibu Kota
https://t.co/ws0FF0duLp",Mon Sep 30 13:25:00 +0000 2024,48,75
6,[],1242387259292172289,kelvdejongh,Ci,1840734422452379938,@SokaJati @realfedinuril @jokowi nambah nambah kerjaan aja lo nyuruh baca UU yang ga ada hubungannya sama pemindahan ibu kota,Mon Sep 30 12:44:20 +0000 2024,0,0
7,"[{'display_url': 'gelora.co/2024/09/jokowi…', 'expanded_url': 'https://www.gelora.co/2024/09/jokowi-frustasi-soal-ikn-jakarta-masih.html', 'url': 'https://t.co/6XQZ0kpibo', 'indices': [93, 116]}]",959859070575394816,Ponorogo_Berkah,Share berita Ponorogo Jatim,1840729233309782152,Jokowi Frustasi soal IKN? Jakarta Masih Ibu Kota RI sampai Ada Keppres Pemindahan ke IKN   - https://t.co/6XQZ0kpibo,Mon Sep 30 12:23:42 +0000 2024,0,0
8,[],1712683175472943105,emposhposh,fe,1840722127085044043,@mazzini_gsp Jadi mikir sebenarnya pemindahan Ibu Kota ini udah direncanaiin matang matang belum si? Kok sekelas narasi sejarah terkait pemindahan ibukota pada era Soekarno aja sejarahnya gapaham dan di putar balikan supaya proyek tetep jalan.,Mon Sep 30 11:55:28 +0000 2024,0,3
9,"[{'display_url': 'beritakanid.com/2024/09/jokowi…', 'expanded_url': 'https://www.beritakanid.com/2024/09/jokowi-frustasi-soal-ikn-jakarta-masih.html', 'url': 'https://t.co/fOzbBlF7EO', 'indices': [89, 112]}]",1512483442600341505,BeritakanID_com,BeritakanID News,1840720678594752739,"Jokowi Frustasi soal IKN? Jakarta Masih Ibu Kota RI sampai Ada Keppres Pemindahan ke IKN
https://t.co/fOzbBlF7EO",Mon Sep 30 11:49:43 +0000 2024,1,4
10,"[{'display_url': 'oposisicerdas.com/2024/09/jokowi…', 'expanded_url': 'https://www.oposisicerdas.com/2024/09/jokowi-frustasi-soal-ikn-jakarta-masih.html', 'url': 'https://t.co/8jJoIGpHGd', 'indices': [89, 112]}]",887743587579944960,OposisiCerdas,OposisiCerdas.com,1840716454897049931,Jokowi Frustasi soal IKN? Jakarta Masih Ibu Kota RI sampai Ada Keppres Pemindahan ke IKN https://t.co/8jJoIGpHGd,Mon Sep 30 11:32:56 +0000 2024,23,30
11,"[{'display_url': 'gelora.co/2024/09/jokowi…', 'expanded_url': 'https://www.gelora.co/2024/09/jokowi-frustasi-soal-ikn-jakarta-masih.html?m=1', 'url': 'https://t.co/EqZWDEOx7t', 'indices': [89, 112]}]",3319260420,geloraco,GELORA NEWS,1840710093555573128,"Jokowi Frustasi soal IKN? Jakarta Masih Ibu Kota RI sampai Ada Keppres Pemindahan ke IKN
https://t.co/EqZWDEOx7t",Mon Sep 30 11:07:39 +0000 2024,39,80
