no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
1,[],1360828668,exelrockstar,The Dark Knight,1840897440968556648,@alvaro_noz @rezacaco @realfedinuril @jokowi Mo disebut gagal juga tdk masalah. Faktanya faktor alam dan kemacetan sulit dicegah spt halnya korupsi. Pemimpin manapun di negara maju sekalipun sama saja. Pemindahan ibukota negara bkn bertujuan u/ mengurai kemacetan dan meniadakan banjir.,Mon Sep 30 23:32:06 +0000 2024,0,0
2,[],4346065994,manusiaabukitt,Hill_Man99,1840875134162518403,"@BataviaRegion @terbahagiakan @realfedinuril @jokowi Di link itu udah ditulis secara jelas, bahwa emang awalnya ada rencana, tp berangsur ilang karena berbagai hal. Di situ juga ditulis tentang UU 10/1964, Jakarta sebagai Ibukota Negara, jadi sebenrnya udah jelas pemindahan Ibukota sejak era Soekarno sebenrnya nggak jadi. https://t.co/ydtxKX3eqF",Mon Sep 30 22:03:28 +0000 2024,0,2
3,[],99287188,Asgardyan,Ian,1840866956150522083,"@SokaJati @realfedinuril Tp bu...klo mmg ibunya udah baca, harusnya nanya ttg ide/rencana pemindahan ibukota itu gak pake UU darurat yg ibu maksud. Wong di penjelasannya aja pembentukan provinsi otonom di Kalimantan, bukan pemindahan ibukota.",Mon Sep 30 21:30:58 +0000 2024,2,89
4,"[{'display_url': 'x.com/mazzini_gsp/st…', 'expanded_url': 'https://x.com/mazzini_gsp/status/1840413036978528650?t=tuvA89CNsT5WIq3ocKH9ew&s=19', 'url': 'https://t.co/cYquaFeqzb', 'indices': [182, 205]}]",458498079,KuroKaitou,FirAnto,1840831535324545129,"@ibshdn @SokaJati @psp_iraz @Asgardyan @realfedinuril Tanpa teori itu pun memang di UU yg disebut ibu itu ga ada hal apapun tentang pemindahan ibukota kok. Udah dibahas ama Mazzini.
https://t.co/cYquaFeqzb",Mon Sep 30 19:10:13 +0000 2024,0,1
5,[],1747290284252340224,yaelahterserahw,± Dinasti,1840795921187291348,tungkan dibanding pemindahan ibukota,Mon Sep 30 16:48:42 +0000 2024,0,0
6,[],1629104548076990465,MundzirMundz20,stinjau lawik,1840780451180593361,"@geloraco Dr dulu kt SDH di pertontonkan dngn sandiwara, mulai dr MK meloloskan anak bapak, mnta 3 periode,  pemindahan ibukota, korupsi besaar2'an, ketum mengundurkan diri, si bungsu nebeng naik privat jet, dll yg begitu banyak di pertontonkan..",Mon Sep 30 15:47:14 +0000 2024,0,0
7,[],1803363194276360192,izza400,izza,1840740290388464027,"@realfedinuril @jokowi Gara2 lu bang, rungkad semua argumen historis pemindahan ibukota 🤭",Mon Sep 30 13:07:39 +0000 2024,0,0
8,[],1685962552587780096,Nemesis_34N,#FreePalestine,1840737997354111344,"SIMAK Ustadz Alpian Tanjung 
Tentang PKI turunan, Oligarki Cina di NKRI

Download share agar NKRI paham BAHAYA LATEN PKI
yg sudah &amp; sdg menguasai.
Program Pemindahan Ibukota, 70% tanah, 200an DPR, mrk mulai masuk sejak pemilu 99,
Mencabut TAP MPRS No. 25/1966,.. https://t.co/FxXNz9ESdb",Mon Sep 30 12:58:32 +0000 2024,2,4
9,[],44556194,elisa_jkt,Elisa,1840729644720390501,"Kalaupun ada buku tentang Sukarno dan Pemindahan Ibukota, isinya pun ada soal UU 10/1957 ini …. 
Jadi ya sekali lagi, pembuat hoax terbaik adalah Pemerintah (terutama yg lagi berkuasa).",Mon Sep 30 12:25:21 +0000 2024,64,124
10,[],2164263248,SiawFung88,Loek Siaw Fung,1840723731007811732,Ide pemindahan ibukota tetap layak diperjuangkan. Tetapi dengan langkah2 yg terukur dan bijaksana dan hati. Demi pertumbuhan dan perkembangan seluruh bangsa,Mon Sep 30 12:01:51 +0000 2024,0,0
